Commit message,Class
refactored statistic record api,move
rremoved invariant,inline
rename column sql friendly,rename
jsdk sdk user would like avoid double post manual journal entry via api add new public method support post gl journal entry transactionid,extract
move regenerate make static,push down
rename constant follow java standard remove catch exception block git svn id f bb ffa edef,rename
rework surface generator big change run terrain generation instead population previously surfaceblock groundblock would generate chunkprovidertc overwritten surfacegenerator terrain population surfacegenerator responsible generate surfaceblock groundblock nullsurfacegenerator call simplesurfacegenerator generates surfaceblock groundblock old simplesurfacegenerator call multiplelayerssurfacegenerator generatingchunk add object hold various data chunk generate chunkprovidertc still use temporary class field hope refactor class future use generatingchunk everywhere,push down
modularize query execution add complete v protocol support remove jdbc jdk support oliver jowett,inline
add prettyprint indent option,extract
rename method getactionid getactiontype groomserveraction git svn id f bb ffa edef,rename
shift method parent,pull up
libmanager able load lgl lib file add loadfile method delegate store list add loadlgl method lgl workhorse rename loadlibfile loadlib lib workhorse notice mask statically import gmstreamdecoder default libs lgl format include resource library lib consider location load yet timelineframe still know location update libaction merge execcode execfunction execinfo since time add updated method gmstreamdecoder read handle error byte read read byte integer readi rename read readstr byte precede string instead mask easy bit mask statically import libmanager updated reference gm file git svn id f f bc e cd,rename
prepare move lightweight meta object relate method dbserver,move
refactoring mainly push stuff md java client may end get push back think right thing git svn id baf c fc e,push down
jbide remove refresh ienvironmentvariable add remove action please reference follow change log remove update call environmentvariableresource destroy applicationresource addenvironmentvariable applicationresource addenvironmentvariables applicationresource removeenvironmentvariable added applicationresource removeenvironmentvariable ienvironmentvariable rename environmentvariablebyname environmentvariablemap update getorloadenvironmentvariable work check emptiness environmentvariablemap update loadenvironmentvariables work environmentvariablesmap return contrast locally scoped version persist correct test failure due omit change instance method environmentvariableresouce applicationresource update remove method use remove ienvironmentvariable applicationresourceintegrationtest use application removeenvironmentvariable ienvironmentvariable testing add integration test removeenvironmentvariable ienvironmentvariable updated applicationresource addenvironmentvariables map filter incoming map key value pair duplicate key without different value update resolve unecessary update dto request generate rebased nov since original pr get behind correct possible logical error accidentally include addenvinronmentvariables map original pr testvar null else rebased support merge recent version upstream master nov correct applicationresource removeenvironmentvariablebyinstance ienvironmentvariable applicationresource removeenvironmentvariable string correct fail test,rename
simplify test framework test incorrectly setup,inline
rework thetvdbprovider small method break jumbo method thetvdbprovider manageable chunk add utility class generic xpath parse add utility function stringutils turn string integer move constant constant java prepared work language english add ability prefer regular episode number dvd number though use yet use object safe improve error message method signature prefer interface list implementation arraylist add comment constant java,extract
extract method doiserviceimpl,extract
change test use modified channeltestbase,inline
refactored mod chest inventory compatibility,push down
extract method parse comment content,extract
df qcadoomes change locale,push down
add collectiontable implementation,extract
prevent add archiveentry name twice changeset git svn id f bb ffa edef,extract
extracted couple small class booter clean minor style wise irritation leave large refactoring previous commit git svn id f bb ffa edef,inline
retire monolithic clienttest vreak small individual test move test service,move
mouse keyboard behavior view change change mouse shortcut manager view implementation old mousemanger shortcutmanager class interface defaultmousemanager defaultshortcutmanager add,push down
bugfix line wise visual mode behaviour empty line motion selectiong empty line move code find line contain position static method startndtextrange line,move
simplify roadmerger add static method possible move evaluation routeflags convertedway rename element getentrysetiterator element gettagentryiterator git svn id f ee dfeeeb,rename
jenkins add new selector perforce p plugins allow update jira issue base job associate change change refactor selector break method defaultissuesselector easy reuse side effect defaultissueselector fully recursive problem fix fix resource defaultupdaterissueselector config jelly selector defaultissueselector config jelly,inline
push crawluri related constant module subproject package many,push down
improve javadoc remove empty tag add new addanimation method,inline
rename method,rename
rest view add,extract
rename charsequence variant jsonstringencoder quoteasstring,rename
merge mapred branch trunk remove git svn id f bb ffa edef,pull up
cut overall object instantiation half change fileheader generation algorithm percent performanceimprovement archive contains lot small file also extract two private method createlocalfileheaderand createcentralfileheader ziparchiveoutputstream may interest additional usage near future basically tactical refactoring scatter gather awonderful performance scatter algorithm spentan equal amount time gather phasegit svn id f bb ffa edef,extract
previously migration would migrate sequence model late version order however cross series version possible migration actually intra model version dependency instance app eomodeld depend authentication eomodeld blindly migrate authentication late version follow migrate app late version possible may auth app auth app change introduces ability migration return version dependency another model previously dependent model automatically migrate either potentially cause strange problem dependency traverse end migration process model reachable dependent model upgrade late version migrate specific version dependent model automatically upgraded version migration specify dependency,inline
refactoring make nexusurl non need mess change clean bit strategy defer direct strategy tamper rest able work without specify nexusurl plugin configuration hand image staging strategy use rest former close latter fully use v rest api stag class hierarchy clean non client user extend abstractdeploystrategy client user extend abstractstagingdeploystrategy,push down
introduce field level metadata change include added metadata immutable metadatabuilder api opt make concrete object builder fact record extend metadata get set method read write path support metadata field without metadata storage format stay bit prefix byte use indicate metadata serialization version time prescence metadata metadata see new class fieldflags document metadata support versioned mutable field matter save implementation time something probably little value read always decodes metadata would problem make loading metadata optional decode lazily add metadata binary record serialization go avro bump serialization version number,extract
refactored kernel add constraint rule,pull up
create per project cert key use fetch metric move zk standardize approach,move
refactored base class calculation move functionality kenyacore,move
fix issue enterhandler refactor actionhandler test fix issue caret end file user press enter open block tag error try find close block tag past end file also add test around functionality add test around refactor test make easy write action handler test,pull up
block option server block option endpoint bugfix empty option last message component code cleanup,pull up
cleanup fix several issue abstract resnode defaultnode use tree model add contitional checking resource change whenver close frame check change store resource global check change method iterate open frame resource resource map ask change number two lead back issue wrong refernces game info setting load identify cause apply temporary patch add foundation search resource also place event panel tab area interesting notice toolbar set floatable float take tab still redocked possibly menas raw docking framework could build jtoolbar,pull up
integrate nrepl add new repl view refactoring editor source viewer simplify launch process,extract
refactoring userprofile attributesdefinition,push down
rename feed source historic query,rename
modify framesmanager allow registration annotationhandler define annotationhandler default annotation refactored framedelement framedvertex framededge logic framedelement class framedvertex framededge remove add classutils utility method use framedelement test pass,pull up
move io simulation ot class,inline
move mouse related code subclass mouseovermousemanager class defaultmousemanager use optionally,push down
add mojosupport sort common setup exception handle cleanup muck refactor mojologger make final field reference,pull up
move webenvironment package use test add javadoc hg rename src test java com opensymphony sitemesh webapp contentfilter webenvironment java src test java com opensymphony sitemesh webapp webenvironment java,rename
refactored date jdk time method sqlbasedao add preliminary law processor code optimize import,inline
change around selector behavior,inline
refactoring,push down
hama refactor graph package git svn id f bb ffa edef,extract
rename thing,rename
extract system classloader inits preclassloaderinitiator plugins,extract
documentation refactoring,extract
java move rule correct package accord new category part,move
test rename,rename
many element move new mockito style,move
compress remove trivial factory method,inline
move getnthfunctionnodeindex getnthterminalnodeindex method kozacrossover general location node fix,inline
add j presponseextractor hook java client deserialization fix,extract
pdm refactored podamfactory instantiable class add spring usage example improve documentation,push down
rename graphsonfactory graphsonutility rename method well consistency,rename
refactor jsr api use new libusb api backend,pull up
reduce number listfiles intend make listing faste,inline
fix rfc proxy separate parse serialization,push down
refactoring getmenuspace navigation extract isemptymainmenu querymethod,extract
perform good cache around compile basic non basic codeblocks refactor lookup use bytecode generation basecompilableblockstatement superclass move code storage codestorage manager entry hold codeblock result compile object,inline
refactored classcachemgr make leaner readable class prevent bloat make parallel work bit easy,move
introduce randomdataproviderstrategy interface extension dataproviderstrategy pull method abstractrandomdataproviderstrategy new interface,push down
rename method,rename
rename packstringwithgetbytes add comment,rename
refactor,move
weaken emodulemanager assumption emodules manage among thing reflection move emodulemanager do preparation mixed mode execution e interpreter,move
renames,rename
switchyard remove camelmessagecomposer implementation camel commit contains share code place core use camel exchange bus,pull up
minor rename code get rename accessright rename,rename
reorganisation controller cod bookingroomcontroller us bookroomcommand addbookingroomviewparamscontroller use static method bookroomcommand fix little bug jsp work fine tomcat git svn id database trunk f c aaa da e aacc,extract
added support extract json object array request body via helper,extract
minor refactoring strip api tokenstreamfactory,push down
rename method,rename
testinfodto expand endtime move fetchutil,move
refactor xmppchatclient generality simplicity,extract
change phase four add orthology information move exist phase four kam building phase five phase four merges relevant orthologous relationship,move
move groovy stuff special class make reusable,pull up
face develop alloy outputscript component face remove compile time dependency portal service jar liferay face alloy move liferayportletutil java liferaythemedisplayutil java util jar modify avoid use reflection,inline
eliminate dupe code minor code cleanup,pull up
added bytearraydatainputstream implement datainput bytearraydataoutputstream implement dataoutput read write directly byte buffer add method bit encode decode various type yet do remove unused method util move method util bit add limit bytearraydatainputstream replace exposedxxx class send receive message bytearraydata input output stream class remove exposedxxx class replace exposedxxx class bytearraydata input output stream equivalent,move
remove unnecessary line sorry,inline
implement tab gamesettingframe fix loading resource jar add event replace colorselect basic colour choose panel indexbuttongroup make possible decimal indexed group rather bitwise add basic actionlistener functionality listener add line save code commit change lgm gameset open gm file correct default icon code work within jar change coloroutsideroom color rather int gm filereader writer modify read write coloroutsideroom correctly gmstreamdecoder added alternate constructor gmstreamencoder added alternate constructor rename writei write add write writestr function prefs add string defaultlibs use jar dynamic detection plan util modify getvalidimage display error message method throw exception move adddim method remove convenience version make thread safe constant overrode equal hashcode hashcode checkstyle make comparable sorting add copy function libmanager correct autoload work within jar backgroundframe modify use new version adddim remove try catch image load code eventframe modify use new version adddim small correction link frame selector frame select well put top gamesettingframe implement resolution load constant tabs fully functional modify tab use indexbuttongroup modify graphic tab add scale factor field change background colour selector colorselect component gmobjectframe implement dnd event replace resourceframe remove adddim method spriteframe modify use new version adddim remove try catch image load code timelineframe make frame icon final checkstyle xml change ignore line trail line comment git svn id f f bc e cd,move
added support remove cursor ui related fix row label always directly show scroll sometimes first approach rainbow color channel cleanup,extract
rename accessmodifier accessrestriction,rename
add jsonname jsonroottype annotation update test model account annotation change main isolated assignment double conditionals git svn id c b b b e,inline
refactored pdproadmodel system,push down
major refactoring propertydescriptors change include genericization propertydesciptors facilitate dry principle split multi value propertydesciptors separate class take full advantage generic remove simple string property accessors rule interface propertydescriptor support property define via rule definepropertydescriptor propertydescriptor interface normally call constructor ruleset xml enhance support propertydescriptor define rulesetfactory rulesetwriter account robust property definition ruleset xmls correct move definition java class need include necessary type information miss git svn id baf c fc e,pull up
lib rename issuer issuerofpatientid issuer fromissuerofpatientid,rename
move testdelayedflush since work binary,pull up
added test load balancer validation add node validator refactored new validation structure,push down
rename mutator superdelete mutator subdelete consistent rest api,rename
implement dynamic class load unit test rhino fork rhino browser code standardclassloader loadscript rename jooruntimetestcase loadclass import simply call joo classloader import turn end standardclassloader loadscript call jooruntimetestcase global joo loadscript testcatch test also work wihtout load dependant class git p depot path coremedia jangaroo change,rename
bug fix push predicate,push down
refactored common code,pull up
added support extract json object array request body via helper,extract
major refactor start process eventually move content manager class separate module move different subpackage remain kenyaemr module dependency kenyaemr remove,move
fix native source update,push down
remove com apple eawt package import idea come,pull up
another minor change nothing important happen,inline
refactor auction load code construct new auctioninfo object every time,move
added support postfix expression albeit via statementexpression node git svn id baf c fc e,extract
reduce number listfiles intend make listing faste,inline
rename method,rename
jbide add test embeddedcartridgeresource geturl,extract
observer observable pattern ui view interface moveable moveablecontainer refactoring mega commit due problem remote branch,pull up
reorganize abstract processor method put function specific bill processing abstractbillprocessor make bill processor inherit class,push down
refactored remain usages fee tax use transaction unit issue,pull up
stuff move defaultdifferenceengine diff,move
split opentsdbwriter merge kieren hynd tcollectorudpwriter class hierarchy ensure consistent handle tags setting also apply check numeric value cleanup quote special character writer,pull up
remove property duplication methodproperty fieldproperty common superclass duplicate code commit reduce duplication push common code superclass time add additional test functionality,pull up
face add general utility liferay face alloy component refactored regenerated component add module attribute yui component face develop alloy button alloy commandbutton alloy icon component refactored regenerated alloy button alloy commandbutton alloy icon component face develop alloy field component regenerate alloy field face develop alloy fieldset component refactored regenerated alloy fieldset face develop alloy row alloy column component regenerate alloy row alloy column face develop alloy datatable alloy panelgrid component regenerate alloy panelgrid face develop alloy message alloy message component regenerate alloy message alloy message,pull up
improve javadoc remove empty tag add new addanimation method,extract
pmcachecfg move deprecated code separate class,move
reorganise import java clean artifact versioning parent pom,pull up
code cleanup method rename rename boolean get rename getseller getsellername well represent actually remove unused import,rename
expose global setting xml e preference change id id badd ca f ed b cf c e e sign igor fedorenko,inline
move sharedloglogic specific getcheckedoperations superclass move operation resolve abstractloglogic,push down
backlog use isempty instead null several string property remove auto level create measure column correct summary message hierarchy empty,pull up
extract method abstractpipe path need override getpathtohere pacer plus clean method bit think,extract
fix handle loot lot refactoring,pull up
create superclass basecontainerblock thing share chest furnace pretty much everything also fix small typo sign tostring one many remove function duplicate miss,pull up
ets fix base test suite make heir option work implement ets setopts order element bag like beam fix epattern ematchspec sort n variable allow n value contiguous x fix pattern match spec work move ets info ets info impl etable class implement ets match bag duplicate bag,move
remove automatic update instead notice print console,inline
refactor code put current distro manager default plugin,extract
rename webbeans weld,rename
refactor codegenerator facilitate addition backend jvstm common,extract
rename round robin selection name server rotateservers,rename
move attribute bigendian attribute group,inline
xslt space normalization also bunch refactorings request xslt template go thru factory add flag tag extractor allow function normalize space mode non normalized mode switch back non normalized space change constant template file factory switch normalize flag false th transformer,extract
remove duplicate customparams tiledwms layer,push down
rename androidrelayconfiguration messagebufferconfiguration paraemterize example,rename
make extractor interrogate charset replaycharsequence genericreplaycharsequence use charset instance rather string name recorder use charset instance ratehr string name getcontentreplaycharsequence avoid reuse cached replaycharsequence encode use change since create getcontentreplayprefixstring allow request specific charset interpretation extractorhtml extractorxml work charset instance double check content declaration self consistent use recycle matcher instance change minor charset problem decision crawl log annotation,inline
rename tunnel connection property jumpstation fix overthereonwindowsitest opening tunnel beforeclass closing afterclass,rename
rename stuff appropriately,rename
qcadoomes code refactor cell binder functionality add support parse localize decimal,pull up
introduce clean low level api console interface provide signal api access underlie terminal capability stty setting also bring support virtual console use remote connection example much leverage remain code thing like cursor movement etc leverage information aeshinputstream hack transform window arrow key remove also note aeshinputstream correctly handle encode input stream assume default charset always case especially windows external dependency new package api impl utils loggerutil class mean easily extract low component,move
basically revert change make fix handle super bound jdk fail wrap type typesdecorator move logic type gettypebounds typefactory,move
rename getec hostname getec hostaddress,rename
moved common code cascade merge daos abstract class git svn id directory trunk f dbab f eb b e eb,pull up
add static setter method plugin,extract
face move portlet bridge specific resource handle logic resourcehandlerwrapperbase resourcehandlerbridgeimpl,push down
move handshake method serverhandlewithwebsockets,push down
frame parameter test set change buffer refactored bit remove notimplementedexception,extract
remove interface seam component pnly use interface actually bring something useful boilerplate code,pull up
tidy remove interface simulationinput,pull up
rename test git svn id f bb ffa edef,rename
refactored move test,move
refactoring primary execute method cache mostly method extraction git svn id f bb ffa edef,extract
rename execute method add executeupdate method added transaction handle,rename
rename transaction disputedtransaction,rename
change api method getwikidefaultdocref need depcellspacesuffix parameter,inline
nxp rename entity activityobject,rename
complete method type property descriptor refactored common class filter optional package prefix match test case update typemap catch error new test case update classutil new functionality new descriptor restore lose indentation format git svn id baf c fc e,pull up
move io collection library class mlcllib,inline
latency measurement add stormdsttuplestorage without bdb,extract
merge revision via svnmerge r steve fri nov line allow charset target r steve sit nov line allow make upper case optional r steve sun nov line make transliteration acsii mode table drive r steve sun nov line add miss blank character translit map r steve sun nov line build change need character table r steve tue nov line russian transliteration provide user liosha git svn id f ee dfeeeb,extract
extract unecessary dependency java util uri probably big change ever refactored system uri class nest deep system real reason assume backends would uri scheme keep uri time bucket case everything bucket model pathresolver refactored change make first place glacier uri call instead want configure backend key value instead uri change system also make easy transition key value store since abstraction transfer bucket give bucket key give key give back bucket,push down
change implementation concurrency synchronize instead lazy connection,inline
redis support various improvement change artifact dependency scope rename various field method memcached storage use clq instead list synchronization jedispool close redis client jedisconnectionexception exception get rid memcachedclient reference spymemcached classpath redis use,rename
rework dynarray follow defineownproperty aspect spec,inline
attach patch follow improves performance commit rollback reduce number round trip server use functionality set transaction isolation level back patch day ago code fail compile jdk detail old code follow commit commit begin set transaction isolation level xxx thus call commit perform three round trip database new code one round trip commit begin set transaction isolation level xxx simple test program performs transaction transaction one simple select inside transaction follow timing client server machine old new sec sec improvement client server different machine old new sec sec improvement timing average four different run driver use set transaction isolation level xxx begin transaction instead use new syntax set session characteristic transaction isolation level xxx need do instead transaction do conditionally e server old old behaviour else new behaviour break backward compatibility also require movement code check test database version number databasemetadata object connection object finally test discover code check day ago actually compile code patch connection setcatalog use property setproperty exists jdk high thus compile jdbc driver fail method exist thus back patch barry lind,move
move hashcode content,pull up
add unit test,extract
nobug add compilation argument import support mfcu option enh compilation argument import add support execute command intercept compiler wrapper sometimes compilation failure cause entire process terminate early,extract
tidy head commit slightly move creation exception resolver webapplicationconfiguration share bean,move
begin remove multireporter multireporter java deprecate toepool toethread workqueue workqueuefrontier precedenceprovider crawluri fetchstats java remove multireporter getreports reportto string printwriter use multireporter specifies multireporter go away anyhow,inline
new attribute add schema value unit observation date add vmlobservation generic observation element add observationtarget jaxb implementation improve json xml roundtrip test,extract
fix lbclassic lbclassic,push down
move record doremoteaction call fieldlist,pull up
engine fix code review,push down
rename rq contentcolumn rq contentdownloadcolumn tester find name confuse,rename
refactoring replace deprecated treenode constructor treenodeservicetest,extract
rename pipecommand pipe,rename
added forwardword action add undo changeaction,push down
simplify commitwalkaction move code specific either changelog contributor respective subclass,move
clean merging,inline
push getvisualmotionstate abstractvisualmodethis use abstract method different visual modescould pas right selection factory handledthrough fixselection method move implementation superclass mean visual mode usethe motion,pull up
rename tenantid tenantname find strange use combo tenantid tablename make tenantid also tenantname commit also include repositorytablemanager tablemanager rename previous commit sorry,rename
finish change blockingdeque wait notify queuenames,inline
artif extend redefine coremodel xsd add artificer comment element baseartifacttype split xjc generation script,pull up
divide color class three class color interface rgbcolor class hsbcolor class remove colormode refactoring many source,pull up
refactor marker resolution quick fix change id ibdcc cf cfbb fd c ba ce cfb c cb sign anton tanasenko,extract
way remove ebean completely,push down
add pullup pushdown subprocesses,push down
remove weighting utility class move limitted factionality elsewhere,move
reorganize support transport client,pull up
extract different part statement,extract
surefire refactoring suppress print null exception getmessage return null,inline
eliminate inner class showname querystring previously static inner class showname move functionality showname guess whole distinction kind dumb idea dumb idea get two file like office e mp office e mkv think separate showname object substring extract find show names identical office office however query string identical previous setup separate showname object share querystring object realize pretty pointless still think important retain actual find show something go wrong office e mp want say problem parse office string even appear filename maintain original untouched string maintain fileepisode work need retain especially since remind recent commit whole point process shownames since query string need process one query string first place say either office office fail wrong anyway really query string fail mention one example filename give u problem still keep example find name along query string need separate show name mean map shownames querystrings mean object,move
added unit test try make relative path work need,extract
refactor test centralize annotation dsl equivalency test main dao module move test functional test module sub package split separate file relate test create mongo hibernate subclass appropriate test class extend hibernate coverage,inline
v ashok move valid call delivery failure record processing service handler,move
refactor parameterizable policy frontier default xml update bundle profile new chain refactoring crawlcontroller java move three processor chain rather one frontier java loadseeds remove toethread java delegate processing loop fetchchain dispositionchain abstractfrontier java workqueuefrontier java move policy calculation processor candidatesprocessor java new processor dispositionchain run every outlink candidatechain crawlstateupdater java dispositionprocessor java rename expand prep crawluri frontier frontierscheduler java delete use candidatesprocessor candidatechain linksscoper java deprecate use candidatesprocessor candidatechain candidatescoper temporarily retain ease comparison candidatescoper java simple single uri scope test candidatechain frontierpreparer java precalculate frontier policy candidatechain schedule preconditionenforcer java processoruri crawluri take prerequisite preparation previously defer elsewhere processorsreport java update chain processor sheetoverlaysmanager java applyoverridesto move broad use candidatechain java fetchchain java dispositionchain java role specific subclasses processorchain suitable type base autowiring crawluri java new field accessors use new chain frontier postprocessor java delete skip postprocessing skip end chain processorchain java take control loop formerly toethread processresult java absorb processstatus eliminate problematic stuck result,move
implement miss byte extraction ddb data add test necessary update package confirm add safevarargs method dynamodbquerymodeldao minor cleanup,extract
move version item content,inline
fix concurrency issue minor performance improvement cleanup,inline
vandang ashok sush use repository delete couchdb document instead service add integration test add log message,extract
memory improvement optimize chararray internals copy string charbuffers delete load unused code remove tag text getcontents always use efficient writeto instead remove support textfilters one unused regexreplacetextfilter implementation add overhead rarely use may replace something efficient later base user demand chararray implement appendable use appendable place instead sm specific chararray propagate ioexception around api,inline
hv rename method consistency,rename
refactored diagram setting dialog mode dialog single preference dialog allow custom color scheme define mean config file,inline
inlined simple method searcher,inline
rename variable,rename
refactoring also tempoary test code dead end tip bug,inline
start rename fplayer uplayer since need mplayer,rename
refactoring introduce replcommand make easy add additional command,move
refactoring allow add different version mapfish json parser,move
combine two method getreplacementtext previously fileepisode getnewfilename would construct new filename download information fact information successfully obtain method would return various piece text case yet sufficient information getnewfilepath take result getnewfilename move enable prepended destination directory getnewfilename useful public function two place first create table item assume yet file information call getnewfilename get placeholder text register listener change information fileepisodetest want validate name without destination directory get way solve simply placeholder text return combined method already solve always disable move test return text never directory prepended far name go neither getnewfilename getnewfilepath really accurate since could well return different type text settle getreplacementtext possibly name could still improve,inline
rename dumputils descriptorutils,rename
ellipsoidfactor move principal component calculation class,move
introduce common workflow model executor also replace implementation test driver task executor,inline
fix bug add check mailx wsdl j package cluster creation,extract
rename method member well fit smartclient api,rename
move canaccess check memberinfo,pull up
make reconnection reliable allow change back time case jms exception jmsstreamdataprovider add test jmsstreamdataprovider add dependency mockito,extract
part issue move moretypes memberkey linenumbers linenumbers use way linenumbers use heavily dependent implementation stay one area construct key insert hash map another area use method reconstruct retrieve map git svn id f b b b aecad e,move
fcrepo allow fesl relationship resolver use resource indexrefactor exist code prep implement ri base resolver movecommon code abstract base class remove unused method,pull up
favorite simplify last view management,inline
refactored hookexecutor event base work via method reflection also factor prioritynode additionally user add cfg file plugin inside pligins folder currently use resolve priority hook execution order conflict require,inline
remove getqueryresults,inline
manual merge refactor geoip,inline
rename sendfileregion fileregion rename fileregion getbyteswritten getwrittenbytes per trustins comment dirmina git svn id f bb ffa edef,rename
introduce elevationcalculator interface,push down
jni libs extract wsn device driver folder user home,extract
added function g round g union respective test case clean function implementation move graphfunctionhelper,push down
reverse support samt extraction,extract
json serialization deserialization method move separate jsoncodec class,move
da cotentwriter contentreader move isolation support reader selectwithretry,move
support page iterator bulk fetch request previously page handle internally page collect request change expose iterator page responses follow link header return request directly change behavior mylyn github connector since issue gist query still return full response change id c e e e b e e db b b sign kevin sawicki,push down
issue move conainer init code seperate class,move
add move associate file submission next step leave raw data file,move
sonarjnkns move global configuration dedicate component,move
merge code static method do thing,inline
pull thumbnail code core class,pull up
ismavatar commit alpha updated customfilefilter handle file without extension use loop fix indexbuttongroup setvalue non cumulative value change maptable array stable non variable size updated soundframe load save button load save sound data untested layout gui etc merge filename label value addgap method add maybe extract resourceframe append space message property soundframe file value update lgm display work filename update listener remove listener debugger code jfilechooser default folder add quadduc credit lgm upgraded marko hole jerk git svn id f f bc e cd,extract
tidy git svn id f bb ffa edef,inline
enables condense naming require move name generation method abstractgenerator provide access generatorcontext side effect clean way main class interface retrieve,move
compiler option specify jdk jdk lower finalize realize might consider move entirely string base option instead infer option provide enum setup benefit throw exception option present,push down
api cleanup,push down
rename blockingvariable getvalue setvalue get set line java util concurrent method syntax well conveys method may block add blockingvariablespec,rename
refactored crawldbmerger handle db unfetched merges better,extract
fix compilation error master counter add infinispan version x,push down
rfc redesign authenticator related class git svn id f bb ffa edef,inline
ticket batch histogram wip refactor produce batch histogram non tau parameter also drive current fit image dropdown selection,push down
introduce oscdatagrammchannel,inline
remove gui code argument argument relocate gui relate code actionframe keep data model separate interface actionframe add argumentcomponent class handle thing move argument remove argedit field replace argcomp message property rename argument key argumentcomponent part part commit git svn id f f bc e cd,move
clean profusion method orientdb implementation remove exists open create put functionality constructor try keep implementation specific blueprint possible allow user depend non interface base method transactionstestsuite still cause problem concurrent modification hashmap,pull up
rename method,rename
added comment abstractpollingconnectionlessacceptor rename startupworker method startupacceptor git svn id f bb ffa edef,rename
refactored measure test use abstract super test,pull up
menupieces organize tree git svn id e b fefcacdf,push down
simplify introspector rename beanpropertyx stuff propertyx stuff,rename
change brian remedios refactored useindexofchar extract common functionality abstractpoormethodcall git svn id baf c fc e,pull up
boleto refactoring tirando interface data,move
added abstractremoteservice refactored implementation use,pull up
quality refactoring,push down
extract two method handlestate reduce method size,extract
refactor use picocontainer instanciate jenkins component,move
add callgraph class lot bugfixes extendsions struct invokes,pull up
reactoring pas unit test add new unit test heal session,extract
bugfix jenkins enhancement jenkins bugfix jenkins include new feature ignore parent stream tell project ignore change make basis stream actual stream build signficantly reduce time plugin take talk accurev server new feature get streams singly accurev client workaround really plugin use call server get stream include absolutely everything sun turn many megabyte data every poll every build server setting say get streams care stream parent stream etc albeit cost potentially make one call server enhancement log improved make debug accurev client failure little easy enhancement weakly cache xmlpullparserfactory refactor extract code run accurev client command class reduce duplicated code make parse command output consistent refactor split many accurevscm inner class file attempt make main class maintainable,pull up
refactoring remove unnecessary interface change use non deprecate method test,pull up
fix cleanup first round test,pull up
assign bug third party tool extension handle correctly rename annotation xmlpersistencemappingextendedmetadata,rename
resolve add tomcat support thanx h nig han joachim kliemeck cyrille leclerc cyrille le clerc see also pull request tomcat redirects instead automatically redirect must ask additionally status code check testutils need extended change context path get rid tomcat login workaround,push down
remove last piece old non work clip region check push handful field box blockbox,push down
simplify code git svn id f bb ffa edef,inline
rename hashalgo digestalgorithm,rename
fix confusion getnumberofcomponents method rename getadjointdimension also add unit test,rename
massive refactoring make epublib logical easy use,push down
add common parameter load code simulation load method cli args db,extract
rework,inline
notifplt move notion jpa contain jpanotificationservice jpaservices,move
undid redesign april importantly instead subclass java io file overtherefile abstract base class subclassing make implementation complex add benefit code use expect able open fileinputstream fileoutputstream java io file work remote file change also allow specific semantics delete mkdir mkdirs renameto remove api method well alternative e g use listfiles instead list removed convenience method get outputstream rename get getinputstream put long getoutputstream long rename hostconnection overthereconnection rename overhereconnection startexecute overthereconnection startprocess rename commandexecution overthereprocess rename commandexecutioncallbackhandler overthereprocessoutputhandler improve overthereprocessoutputhandler implementation create use static method group multipleoverthereprocessoutputhandler improved performance ssh specifically scp protocol reduce wait time loop wait completion command m m fix bug sshinteractivesudooverthereconnection could handle password prompt end assword assword somewhere middle added cmdline cmdlineargument abstraction command line allow good hiding password logs implement command line encode move operatingsystemfamily improve reimplemented overthereconnection execute term overthereconnection startprocess reduces duplicate code protocol implementation ensure execute startprocess identical semantics force protocol implementation implement startprocess wsadmin wlst daemon always work set source target compatibility add building source javadoc artifact gradle fix added dependency guava replace use apache common soon use scannit annotation scan instead reflection updated note readme md,rename
updated command updatetest refactored,extract
rename test,rename
refactor ptf ifc clearer separation duty resolver evaluator document ifc provide pitr execute method link leadlag do executor windowtblfunc hold onto windowfndefs qdeserializer special handling windowtblfunc,pull up
major internal change xmloutputter public protect method signature change code much clean regard whitespace handle text trim printing behaves whole lot well fact follow setting pretty print output even doc contains content whitespace file content build memory whitespace settrimtext true setindent setnewlines true may perfectly match everyone idea pretty mind pretty good btw default setting trim indent newlines still behave exact print document raw among structural change printxxx method print xxx concern whitespace around xxx item example printcomment print comment try print new line indention place whitespace handle occurs printdocument document level whitespace printelementcontent whitespace element tag case whitespace naturally within item print signature change deprecate public setindentlevel method global indent well do stacked filteroutputstream method empty remove beta deprected public setpadtext method need current output mechanism method empty remove beta change protect printxxx method new signature without int indentlevel final parameter bother deprecation thanks mark roder raise issue get start jh,inline
change event api well comment consistent api also focus interface,inline
rename method,rename
casc commit move new repository can not release yet miss contributor license agreement,pull up
biserver refactoring scheduleeditor extends abstractscheduleeditor,push down
handle console command fix system input block indefinitely,push down
added windgate csv feature,extract
fix render problem introduce remove graphicsutil class use image instead bufferedimage case convert awt image necessary complete require cleanup,push down
meta data cache code move cache package,move
hv add support non parameterized type value extraction,extract
partially complete change kernel package start improve rule validity checking add constraintkernel interface rename class predicateconstraint package implement groundall predicateconstraint package implement lazympeinference,rename
refactor extract authorization service interace,extract
tweak clean ups,pull up
move render code layout issue number obtain submit reviewed,push down
partial refactoring database atomstore interface database longer need know atomstore,inline
